AESI	2023-08-18	20.8195	0.44381025	0.4393325	20.0C 20.0P 22.5C 22.5P	1484025.351385
AFCG	2023-08-18	14.0	0.33600375	0.304844	15.0C 15.0P 12.5C 12.5P	1484024.552128
AFG	2023-08-18	121.7	0.196036	0.2292525	120.0C 120.0P 125.0P 125.0C	1484023.427196
AFL	2023-08-04	72.17	0.3496475	0.347862	72.0P 72.0C 73.0P 73.0C	274422.29477
AFRM	2023-08-04	19.1685	1.0679815	1.0661155	19.0C 19.0P 19.5C 19.5P	274420.96681
AFTY	2023-08-18	15.92	0.687144	0.411953	16.0P 16.0C 15.0C 15.0P	1484020.064611
AG	2023-08-04	6.3916	0.772068	0.7691715	6.5C 6.5P 6.0C 6.0P	274419.054837
AGCO	2023-08-18	133.57	0.2651555	0.2656885	135.0C 135.0P 130.0C 130.0P	1484018.041167
AGG	2023-08-18	96.7977	0.0665265	0.0657485	97.0C 97.0P 96.0C 96.0P	1484017.105555
AGGY	2023-08-18	42.7507	0.0350875	0.0350875	43.0P 43.0C 42.0C 42.0P	1484014.897165
AGI	2023-08-18	12.015	0.3535285	0.346411	12.0P 12.0C 13.0P 13.0C	1484014.054723
AGIO	2023-08-18	26.46	0.6403337499999999	0.637581	25.0C 25.0P 30.0C 30.0P	1484013.255584
AGL	2023-08-18	18.28	0.70692775	0.7111445	17.5C 17.5P 20.0C 20.0P	1484012.515667
AGM	2023-08-18	161.275	0.2895405	0.296115	160.0C 160.0P 165.0C 165.0P	1484011.467478
AGNC	2023-08-04	10.1075	0.2960685	0.2910335	10.0C 10.0P 10.5C 10.5P	274410.475349
AGNG	2023-08-18	27.892	0.0522475	0.0522475	28.0C 28.0P 27.0C 27.0P	1484009.587165
AGO	2023-08-18	59.74	0.37435375	0.37738499999999997	60.0P 60.0C 55.0P 55.0C	1484008.834316
AGQ	2023-08-18	30.0315	0.46434325	0.46403649999999996	30.0C 30.0P 31.0P 31.0C	1484007.846561
AGRO	2023-08-18	10.875	0.49931925	0.534359	10.0C 10.0P 12.5P 12.5C	1484007.138901
AGS	2023-08-18	6.755	1.0488575	0.7611885	7.5P 7.5C 5.0P 5.0C	1484006.445264
AGTI	2023-08-18	16.96	0.60033825	0.6266229999999999	17.5P 17.5C 15.0P 15.0C	1484005.69556
AGYS	2023-08-18	73.05	0.32678075	0.3469835	75.0C 75.0P 70.0C 70.0P	1484004.911532
AHCO	2023-08-18	13.52	0.891123	0.889394	12.5C 12.5P 15.0P 15.0C	1484004.187534
AHH	2023-08-18	12.195	0.36328900000000003	0.347731	12.5P 12.5C 10.0P 10.0C	1484003.443268
AHOY	2023-08-18	21.109	0.06982350000000001	0.06982350000000001	21.0P 21.0C 22.0C 22.0P	1484002.575365
AI	2023-08-04	43.27	1.00406375	1.00942	43.5P 43.5C 43.0C 43.0P	274401.260526
AIA	2023-08-18	62.5	0.42846324999999996	0.4253185	62.68C 62.68P 61.68C 61.68P	1484000.373067
AIG	2023-08-04	60.145	0.4451765	0.444249	60.0C 60.0P 61.0C 61.0P	274399.297513
AIN	2023-08-18	97.055	0.28632975	0.3048095	95.0C 95.0P 100.0P 100.0C	1483998.652872
AIP	2023-08-18	7.48	0.89905175	0.908436	7.5C 7.5P 5.0P 5.0C	1483997.97907
AIQ	2023-08-18	29.37	0.34713325	0.345102	29.0C 29.0P 30.0P 30.0C	1483997.019529
AIR	2023-08-18	59.36	0.35187475	0.395113	60.0C 60.0P 55.0C 55.0P	1483996.195933
AIRC	2023-08-18	34.43	0.256354	0.289032	35.0P 35.0C 30.0C 30.0P	1483995.50076
AIT	2023-08-18	145.515	0.33668575	0.34517050000000005	145.0P 145.0C 150.0P 150.0C	1483994.528877
AIV	2023-08-18	8.24	0.567599	0.518813	7.5P 7.5C 10.0P 10.0C	1483993.836036
AIVI	2023-08-18	39.81	0.08004966666666666	0.062784	40.0P 40.0C 39.0C 39.0P	1483992.909526
AIVL	2023-08-18	96.4472	0.1426895	0.14636349999999998	96.0P 96.0C 97.0C 97.0P	1483992.016811
AIZ	2023-08-18	133.77	0.36069324999999997	0.3597935	135.0C 135.0P 130.0C 130.0P	1483991.108507
AJG	2023-08-18	216.83	0.16474125	0.1635005	220.0P 220.0C 210.0P 210.0C	1483990.187654
AJX	2023-08-18	6.92	0.576167	0.713554	7.5C 7.5P 5.0C 5.0P	1483989.525329
AKAM	2023-08-18	94.25	0.3743785	0.3738985	95.0P 95.0C 92.5P 92.5C	1483988.520057
